"reef_name","global_label","year","Mean","SD","N","SE","surveyid","sub_region","optional","Bleaching","Cyclone","Density","Threat","Density.cat","Cyclone.cat","Bleaching.cat","Threat.cat","lng","lat"
"13074 Reef","FLP",2012,0.0372151898734177,0.0441133943511654,79,0.00496314462532746,15022,"Far Northern",TRUE,0.108490012586117,1.43961155414581,0.00248412089422345,2.44255232810974,"Low","Low","Low","Low",144.0654311,-13.47471972
"13074 Reef","GORG",2012,0.000253164556962025,0.00225017580185205,79,0.000253164556962025,15022,"Far Northern",TRUE,0.108490012586117,1.43961155414581,0.00248412089422345,2.44255232810974,"Low","Low","Low","Low",144.0654311,-13.47471972
"13074 Reef","MACRO",2012,0.00354430379746835,0.0127136081629846,79,0.00143039267212883,15022,"Far Northern",TRUE,0.108490012586117,1.43961155414581,0.00248412089422345,2.44255232810974,"Low","Low","Low","Low",144.0654311,-13.47471972
"13074 Reef","MSE",2012,0.0154430379746835,0.0260077635526656,79,0.00292610201032489,15022,"Far Northern",TRUE,0.108490012586117,1.43961155414581,0.00248412089422345,2.44255232810974,"Low","Low","Low","Low",144.0654311,-13.47471972
"13074 Reef","MSEM",2012,0.0207594936708861,0.0320964952116045,79,0.00361113784247062,15022,"Far Northern",TRUE,0.108490012586117,1.43961155414581,0.00248412089422345,2.44255232810974,"Low","Low","Low","Low",144.0654311,-13.47471972
"13074 Reef","NON_COLONIZABLE",2012,0.218987341772152,0.355382044106919,79,0.0399836038031054,15022,"Far Northern",TRUE,0.108490012586117,1.43961155414581,0.00248412089422345,2.44255232810974,"Low","Low","Low","Low",144.0654311,-13.47471972
"13074 Reef","OTH-SF",2012,0.0567088607594937,0.10073730140737,79,0.011333831898537,15022,"Far Northern",TRUE,0.108490012586117,1.43961155414581,0.00248412089422345,2.44255232810974,"Low","Low","Low","Low",144.0654311,-13.47471972
"13074 Reef","OTHER",2012,0.0425316455696203,0.114146423671532,79,0.0128424760206817,15022,"Far Northern",TRUE,0.108490012586117,1.43961155414581,0.00248412089422345,2.44255232810974,"Low","Low","Low","Low",144.0654311,-13.47471972
"13116 Reef","ACR_BRA",2012,0.0239130434782609,0.042712384926236,46,0.00629759758556518,15023,"Far Northern",TRUE,0.110648274421692,1.43961155414581,0.00248412089422345,3.27871131896973,"Low","Low","Low","High",144.0825853,-13.50503806
"13116 Reef","ACR_TCD",2012,0.09,0.105388171379271,46,0.0155386381437473,15023,"Far Northern",TRUE,0.110648274421692,1.43961155414581,0.00248412089422345,3.27871131896973,"Low","Low","Low","High",144.0825853,-13.50503806
"13116 Reef","BRA_nACR",2012,0.103913043478261,0.0864735864840836,46,0.012749834746943,15023,"Far Northern",TRUE,0.110648274421692,1.43961155414581,0.00248412089422345,3.27871131896973,"Low","Low","Low","High",144.0825853,-13.50503806
"13116 Reef","CCA",2012,0.0234782608695652,0.035603831960079,46,0.0052494986308043,15023,"Far Northern",TRUE,0.110648274421692,1.43961155414581,0.00248412089422345,3.27871131896973,"Low","Low","Low","High",144.0825853,-13.50503806
"13116 Reef","EAM",2012,0.430434782608696,0.190565900199486,46,0.0280974091018312,15023,"Far Northern",TRUE,0.110648274421692,1.43961155414581,0.00248412089422345,3.27871131896973,"Low","Low","Low","High",144.0825853,-13.50503806
"13116 Reef","FLP",2012,0.0595652173913043,0.064565436978107,46,0.00951965432804783,15023,"Far Northern",TRUE,0.110648274421692,1.43961155414581,0.00248412089422345,3.27871131896973,"Low","Low","Low","High",144.0825853,-13.50503806
"13116 Reef","GORG",2012,0.000434782608695652,0.00294883912309794,46,0.000434782608695652,15023,"Far Northern",TRUE,0.110648274421692,1.43961155414581,0.00248412089422345,3.27871131896973,"Low","Low","Low","High",144.0825853,-13.50503806
"13116 Reef","MACRO",2012,0.000869565217391304,0.00412369141884724,46,0.000608005129374001,15023,"Far Northern",TRUE,0.110648274421692,1.43961155414581,0.00248412089422345,3.27871131896973,"Low","Low","Low","High",144.0825853,-13.50503806
"13116 Reef","MSE",2012,0.0178260869565217,0.0648044252082375,46,0.00955489122019626,15023,"Far Northern",TRUE,0.110648274421692,1.43961155414581,0.00248412089422345,3.27871131896973,"Low","Low","Low","High",144.0825853,-13.50503806
"13116 Reef","MSEM",2012,0.0117391304347826,0.0236928819902694,46,0.00349332486759245,15023,"Far Northern",TRUE,0.110648274421692,1.43961155414581,0.00248412089422345,3.27871131896973,"Low","Low","Low","High",144.0825853,-13.50503806
"13116 Reef","NON_COLONIZABLE",2012,0.150434782608696,0.200077279755589,46,0.0294997855093146,15023,"Far Northern",TRUE,0.110648274421692,1.43961155414581,0.00248412089422345,3.27871131896973,"Low","Low","Low","High",144.0825853,-13.50503806
"13116 Reef","OTH-SF",2012,0.0856521739130435,0.117277490004842,46,0.0172916225392503,15023,"Far Northern",TRUE,0.110648274421692,1.43961155414581,0.00248412089422345,3.27871131896973,"Low","Low","Low","High",144.0825853,-13.50503806
"13116 Reef","OTHER",2012,0.00173913043478261,0.00569769849289536,46,0.000840079811373301,15023,"Far Northern",TRUE,0.110648274421692,1.43961155414581,0.00248412089422345,3.27871131896973,"Low","Low","Low","High",144.0825853,-13.50503806
